"Cittadinanza","Genere","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Regno Unito","Femmine",1065.00,1123.00,1139.00,1171.00,572.00,1287.00,1330.00,1367.00,1358.00,1342.00,1370.00,1482.00,1503.00,1528.00,1632.00,1556.00,758.00,799.00,875.00,899.00,900.00,919.00,987.00,997.00,1041.00,1090.00,1006.00
"Regno Unito","Maschi",1067.00,1121.00,1145.00,1188.00,505.00,1285.00,1325.00,1340.00,1352.00,1328.00,1391.00,1455.00,1504.00,1511.00,1608.00,1537.00,742.00,764.00,827.00,851.00,881.00,891.00,946.00,963.00,1015.00,1046.00,947.00
"Romania","Femmine",99.00,107.00,104.00,120.00,99.00,0.00,245.00,267.00,304.00,333.00,366.00,480.00,573.00,809.00,1041.00,1199.00,1363.00,2254.00,2787.00,3106.00,4173.00,5109.00,6099.00,6650.00,7093.00,8092.00,8228.00
"Romania","Maschi",90.00,92.00,89.00,98.00,51.00,0.00,197.00,217.00,237.00,259.00,368.00,538.00,631.00,943.00,1219.00,1294.00,1264.00,2367.00,2749.00,2845.00,3735.00,4510.00,5145.00,5504.00,5608.00,6317.00,6279.00
"Ruanda","Femmine",5.00,5.00,5.00,5.00,0.00,0.00,5.00,6.00,9.00,10.00,10.00,12.00,15.00,14.00,14.00,14.00,4.00,5.00,8.00,8.00,12.00,11.00,13.00,12.00,9.00,10.00,10.00
"Ruanda","Maschi",6.00,6.00,6.00,6.00,1.00,0.00,7.00,7.00,8.00,8.00,9.00,10.00,11.00,11.00,12.00,13.00,4.00,3.00,4.00,5.00,7.00,7.00,11.00,10.00,8.00,10.00,9.00
"Russa. Federazione","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.00,187.00,172.00,278.00,312.00,371.00,478.00,522.00,471.00,600.00,740.00,794.00,786.00,811.00,891.00,983.00,1137.00,1378.00,1485.00
"Russa. Federazione","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,94.00,90.00,129.00,150.00,153.00,165.00,148.00,109.00,137.00,156.00,174.00,165.00,171.00,181.00,183.00,203.00,249.00,265.00
"Saint Kitts e Nevis","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
"Saint Lucia","Maschi",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Salomone","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"San Marino","Femmine",48.00,49.00,45.00,45.00,28.00,0.00,40.00,40.00,36.00,34.00,31.00,32.00,33.00,32.00,29.00,29.00,27.00,26.00,25.00,23.00,22.00,22.00,22.00,21.00,20.00,19.00,18.00
"San Marino","Maschi",32.00,31.00,29.00,27.00,23.00,0.00,30.00,28.00,25.00,23.00,22.00,23.00,22.00,21.00,19.00,20.00,20.00,20.00,22.00,20.00,21.00,22.00,22.00,24.00,22.00,23.00,22.00
"Sao Tomè e Principe","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sao Tomè e Principe","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
"Seicelle","Femmine",54.00,68.00,67.00,71.00,37.00,0.00,81.00,77.00,78.00,80.00,77.00,79.00,78.00,82.00,85.00,77.00,47.00,51.00,49.00,45.00,45.00,45.00,39.00,38.00,39.00,41.00,35.00
"Seicelle","Maschi",9.00,11.00,14.00,15.00,10.00,0.00,15.00,16.00,16.00,18.00,19.00,21.00,20.00,21.00,26.00,27.00,22.00,22.00,21.00,19.00,18.00,18.00,17.00,18.00,19.00,20.00,17.00
"Senegal","Femmine",8.00,10.00,10.00,19.00,16.00,31.00,36.00,37.00,42.00,47.00,54.00,62.00,72.00,94.00,113.00,100.00,80.00,99.00,119.00,141.00,136.00,145.00,176.00,207.00,244.00,308.00,336.00
"Senegal","Maschi",61.00,84.00,84.00,245.00,148.00,564.00,632.00,649.00,642.00,676.00,1094.00,1509.00,1583.00,1908.00,2031.00,1866.00,1230.00,1597.00,1672.00,1694.00,1644.00,1584.00,1609.00,1697.00,1880.00,2077.00,2114.00
"Serbia","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.00,572.00,545.00,364.00,354.00
"Serbia","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535.00,530.00,488.00,290.00,272.00
"Sierra Leone","Femmine",6.00,6.00,8.00,10.00,10.00,0.00,17.00,18.00,18.00,17.00,18.00,15.00,15.00,17.00,17.00,18.00,13.00,13.00,12.00,12.00,13.00,14.00,13.00,17.00,15.00,15.00,15.00
"Sierra Leone","Maschi",12.00,13.00,14.00,16.00,11.00,0.00,18.00,18.00,22.00,20.00,21.00,21.00,18.00,22.00,27.00,28.00,20.00,23.00,27.00,34.00,32.00,33.00,30.00,31.00,26.00,27.00,23.00
"Singapore","Femmine",3.00,4.00,3.00,3.00,8.00,0.00,5.00,6.00,7.00,7.00,8.00,7.00,7.00,8.00,9.00,7.00,5.00,6.00,5.00,4.00,4.00,6.00,9.00,9.00,9.00,11.00,14.00
"Singapore","Maschi",3.00,4.00,3.00,4.00,2.00,0.00,6.00,6.00,7.00,8.00,9.00,9.00,9.00,10.00,9.00,8.00,7.00,10.00,11.00,10.00,11.00,12.00,15.00,15.00,15.00,14.00,14.00
"Siria","Femmine",38.00,40.00,39.00,36.00,32.00,0.00,39.00,43.00,43.00,43.00,48.00,56.00,55.00,62.00,67.00,76.00,70.00,68.00,77.00,86.00,84.00,79.00,78.00,94.00,94.00,98.00,97.00
"Siria","Maschi",72.00,77.00,75.00,73.00,59.00,0.00,118.00,115.00,115.00,116.00,131.00,146.00,153.00,161.00,187.00,176.00,126.00,163.00,189.00,202.00,208.00,208.00,216.00,225.00,236.00,265.00,270.00
"Slovacchia","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,11.00,15.00,23.00,34.00,52.00,59.00,77.00,98.00,107.00,122.00,130.00,134.00,138.00,147.00,152.00,134.00
"Slovacchia","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,5.00,7.00,7.00,11.00,17.00,17.00,15.00,18.00,20.00,21.00,25.00,27.00,26.00
"Slovenia","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,4.00,11.00,9.00,10.00,10.00,13.00,14.00,15.00,16.00,12.00,10.00,12.00,16.00,17.00,19.00,22.00,28.00,32.00,32.00,40.00,35.00
"Slovenia","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,6.00,9.00,10.00,13.00,12.00,14.00,14.00,16.00,14.00,14.00,9.00,6.00,6.00,6.00,11.00,12.00,23.00,27.00,28.00,35.00,31.00
"Somalia","Femmine",47.00,53.00,60.00,74.00,155.00,0.00,354.00,437.00,532.00,574.00,604.00,718.00,769.00,796.00,798.00,749.00,271.00,280.00,283.00,278.00,272.00,266.00,258.00,262.00,242.00,242.00,228.00
"Somalia","Maschi",72.00,74.00,84.00,93.00,78.00,0.00,256.00,298.00,316.00,329.00,343.00,391.00,445.00,468.00,480.00,448.00,182.00,186.00,194.00,195.00,194.00,181.00,198.00,280.00,261.00,255.00,226.00
"Spagna","Femmine",433.00,506.00,549.00,572.00,365.00,662.00,708.00,760.00,806.00,826.00,862.00,960.00,978.00,1024.00,1163.00,1170.00,783.00,865.00,976.00,1032.00,1058.00,1112.00,1186.00,1250.00,1329.00,1435.00,1373.00
"Spagna","Maschi",333.00,369.00,379.00,385.00,171.00,442.00,460.00,462.00,460.00,464.00,497.00,534.00,537.00,556.00,620.00,602.00,287.00,325.00,381.00,405.00,430.00,443.00,492.00,538.00,586.00,658.00,614.00
"Sri Lanka (Ceylon)","Femmine",108.00,130.00,166.00,227.00,247.00,410.00,550.00,709.00,888.00,1006.00,1259.00,1749.00,2073.00,2458.00,2926.00,3286.00,3096.00,3598.00,4108.00,4370.00,4512.00,4753.00,5290.00,5731.00,6215.00,6863.00,7113.00
"Sri Lanka (Ceylon)","Maschi",200.00,247.00,289.00,408.00,439.00,814.00,1035.00,1231.00,1474.00,1670.00,2198.00,2875.00,3122.00,3660.00,4293.00,4574.00,4042.00,5103.00,5764.00,5948.00,6088.00,6334.00,7058.00,7609.00,8297.00,9262.00,9354.00
"Stati Uniti d'America","Femmine",809.00,815.00,801.00,837.00,471.00,904.00,926.00,949.00,951.00,911.00,931.00,967.00,964.00,969.00,1031.00,994.00,456.00,489.00,528.00,551.00,565.00,576.00,601.00,616.00,648.00,715.00,690.00
"Stati Uniti d'America","Maschi",834.00,823.00,822.00,840.00,379.00,867.00,876.00,897.00,875.00,837.00,854.00,864.00,862.00,881.00,917.00,883.00,359.00,383.00,420.00,433.00,447.00,454.00,464.00,489.00,502.00,522.00,495.00
"Sud Africa","Femmine",20.00,23.00,23.00,23.00,11.00,0.00,23.00,23.00,24.00,19.00,18.00,17.00,17.00,18.00,19.00,21.00,12.00,14.00,17.00,18.00,16.00,11.00,13.00,15.00,13.00,18.00,17.00
"Sud Africa","Maschi",25.00,25.00,24.00,23.00,10.00,0.00,23.00,24.00,23.00,21.00,22.00,22.00,23.00,23.00,25.00,24.00,14.00,14.00,14.00,18.00,20.00,22.00,24.00,25.00,18.00,21.00,19.00
"Sudan","Femmine",5.00,5.00,5.00,3.00,5.00,0.00,3.00,3.00,4.00,4.00,5.00,7.00,11.00,12.00,17.00,13.00,14.00,16.00,18.00,21.00,22.00,20.00,22.00,20.00,20.00,23.00,22.00
"Sudan","Maschi",20.00,20.00,19.00,19.00,12.00,0.00,38.00,42.00,42.00,41.00,43.00,48.00,52.00,55.00,58.00,47.00,37.00,39.00,48.00,92.00,125.00,101.00,90.00,102.00,86.00,100.00,83.00
"Suriname","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Svezia","Femmine",75.00,75.00,77.00,82.00,50.00,0.00,90.00,110.00,123.00,125.00,135.00,153.00,166.00,178.00,204.00,201.00,121.00,134.00,159.00,169.00,173.00,183.00,197.00,205.00,213.00,223.00,188.00
"Svezia","Maschi",64.00,67.00,66.00,68.00,37.00,0.00,71.00,81.00,79.00,73.00,78.00,89.00,88.00,96.00,115.00,123.00,73.00,79.00,86.00,89.00,102.00,103.00,110.00,117.00,126.00,129.00,100.00
"Svizzera","Femmine",1017.00,987.00,952.00,924.00,521.00,852.00,823.00,798.00,771.00,738.00,729.00,730.00,709.00,687.00,685.00,646.00,414.00,397.00,402.00,394.00,385.00,378.00,385.00,380.00,380.00,371.00,332.00
"Svizzera","Maschi",1011.00,1006.00,1001.00,971.00,499.00,920.00,896.00,888.00,860.00,834.00,832.00,819.00,787.00,777.00,784.00,738.00,469.00,463.00,464.00,467.00,458.00,445.00,456.00,448.00,436.00,437.00,401.00
"Swaziland","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
"Swaziland","Maschi",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tagikistan","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,3.00
"Tagikistan","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,6.00,6.00,5.00,3.00,3.00,6.00,6.00,8.00,8.00,8.00
"Taiwan (Formosa)","Femmine",42.00,41.00,44.00,47.00,15.00,0.00,56.00,56.00,76.00,73.00,27.00,24.00,81.00,83.00,85.00,80.00,18.00,19.00,28.00,31.00,34.00,35.00,42.00,44.00,48.00,54.00,56.00
"Taiwan (Formosa)","Maschi",35.00,34.00,33.00,32.00,7.00,0.00,36.00,37.00,44.00,46.00,17.00,11.00,50.00,52.00,57.00,46.00,14.00,12.00,16.00,18.00,20.00,20.00,22.00,23.00,23.00,23.00,23.00
"Tanzania","Femmine",5.00,3.00,3.00,3.00,1.00,0.00,4.00,7.00,7.00,4.00,5.00,6.00,6.00,6.00,7.00,6.00,4.00,4.00,3.00,4.00,4.00,4.00,7.00,7.00,7.00,9.00,6.00
"Tanzania","Maschi",6.00,3.00,3.00,5.00,5.00,0.00,5.00,6.00,6.00,6.00,6.00,8.00,8.00,9.00,9.00,7.00,6.00,6.00,7.00,9.00,9.00,10.00,9.00,9.00,9.00,9.00,8.00
"Territori Autonomia Palestinese","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,2.00,2.00,2.00,2.00,3.00,7.00,7.00,6.00
"Territori Autonomia Palestinese","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,2.00,3.00,10.00,19.00,23.00,23.00,22.00,30.00,38.00,41.00,36.00,32.00
"Thailandia","Femmine",31.00,32.00,34.00,35.00,31.00,0.00,56.00,51.00,52.00,50.00,52.00,64.00,64.00,69.00,80.00,81.00,59.00,64.00,85.00,89.00,104.00,112.00,126.00,148.00,166.00,198.00,188.00
"Thailandia","Maschi",4.00,5.00,3.00,3.00,7.00,0.00,6.00,6.00,7.00,7.00,9.00,10.00,12.00,14.00,17.00,12.00,8.00,10.00,12.00,13.00,14.00,17.00,21.00,19.00,20.00,23.00,24.00
"Togo","Femmine",1.00,1.00,1.00,1.00,2.00,0.00,4.00,5.00,4.00,4.00,4.00,6.00,8.00,8.00,14.00,17.00,18.00,27.00,31.00,43.00,41.00,42.00,42.00,45.00,37.00,38.00,35.00
"Togo","Maschi",5.00,5.00,5.00,1.00,1.00,0.00,4.00,4.00,5.00,6.00,8.00,10.00,11.00,13.00,13.00,19.00,23.00,43.00,79.00,117.00,98.00,81.00,77.00,84.00,81.00,80.00,74.00
"Trinidad e Tobago","Femmine",3.00,2.00,2.00,2.00,3.00,0.00,4.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,8.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,6.00,5.00,5.00,3.00
"Trinidad e Tobago","Maschi",2.00,2.00,2.00,4.00,2.00,0.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
"Tunisia","Femmine",47.00,51.00,66.00,82.00,77.00,136.00,142.00,160.00,173.00,182.00,206.00,239.00,250.00,280.00,294.00,310.00,257.00,304.00,348.00,377.00,379.00,401.00,432.00,461.00,470.00,502.00,499.00
"Tunisia","Maschi",161.00,191.00,208.00,292.00,222.00,682.00,761.00,801.00,797.00,805.00,876.00,975.00,979.00,1034.00,1147.00,1083.00,713.00,860.00,946.00,995.00,1032.00,1067.00,1100.00,1131.00,1157.00,1255.00,1250.00
"Turchia","Femmine",240.00,240.00,246.00,252.00,146.00,286.00,303.00,322.00,316.00,316.00,332.00,378.00,378.00,399.00,455.00,456.00,350.00,380.00,414.00,419.00,433.00,428.00,444.00,472.00,506.00,558.00,595.00
"Turchia","Maschi",270.00,286.00,296.00,314.00,178.00,410.00,419.00,442.00,429.00,423.00,473.00,556.00,568.00,595.00,657.00,640.00,440.00,544.00,607.00,615.00,622.00,610.00,617.00,646.00,666.00,737.00,773.00
"Turkmenistan","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,1.00
"Turkmenistan","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00
"Tuvalu","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Ucraina","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,16.00,32.00,46.00,87.00,165.00,230.00,477.00,1722.00,2382.00,2820.00,2948.00,3187.00,3907.00,4675.00,5640.00,6324.00,6414.00
"Ucraina","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,14.00,22.00,45.00,76.00,79.00,90.00,370.00,573.00,672.00,683.00,731.00,881.00,1053.00,1273.00,1496.00,1537.00
"Uganda","Femmine",0.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,3.00,3.00,4.00,3.00,4.00,4.00,4.00,6.00,8.00,8.00,8.00,7.00,9.00,8.00
"Uganda","Maschi",1.00,1.00,1.00,1.00,5.00,0.00,2.00,3.00,5.00,5.00,5.00,7.00,6.00,8.00,6.00,5.00,3.00,4.00,3.00,8.00,8.00,7.00,6.00,6.00,6.00,4.00,6.00
"Ungheria","Femmine",92.00,92.00,85.00,78.00,45.00,0.00,85.00,96.00,95.00,103.00,107.00,108.00,105.00,121.00,130.00,130.00,80.00,92.00,109.00,115.00,122.00,134.00,148.00,155.00,165.00,177.00,165.00
"Ungheria","Maschi",79.00,85.00,82.00,76.00,33.00,0.00,71.00,70.00,66.00,62.00,62.00,60.00,58.00,59.00,57.00,54.00,18.00,20.00,23.00,29.00,34.00,33.00,38.00,37.00,40.00,43.00,41.00
"Uruguay","Femmine",49.00,60.00,54.00,89.00,73.00,0.00,117.00,126.00,121.00,122.00,127.00,150.00,145.00,153.00,171.00,163.00,90.00,102.00,119.00,117.00,122.00,114.00,122.00,123.00,132.00,137.00,127.00
"Uruguay","Maschi",57.00,56.00,60.00,86.00,52.00,0.00,91.00,87.00,87.00,86.00,88.00,93.00,94.00,98.00,101.00,89.00,39.00,47.00,54.00,50.00,55.00,54.00,56.00,57.00,61.00,70.00,64.00
"Uzbekistan","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,5.00,6.00,9.00,8.00,10.00,14.00,13.00,16.00,15.00,13.00,15.00,21.00,18.00,26.00,24.00
"Uzbekistan","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,2.00,4.00,3.00,4.00,4.00,3.00,4.00,10.00
"Venezuela","Femmine",39.00,36.00,37.00,41.00,47.00,0.00,61.00,62.00,64.00,71.00,75.00,92.00,102.00,127.00,146.00,150.00,116.00,138.00,150.00,161.00,149.00,149.00,165.00,179.00,191.00,223.00,230.00
"Venezuela","Maschi",57.00,55.00,50.00,50.00,36.00,0.00,62.00,60.00,60.00,58.00,60.00,65.00,68.00,77.00,85.00,78.00,48.00,68.00,86.00,91.00,92.00,99.00,118.00,124.00,125.00,135.00,125.00
"Vietnam","Femmine",8.00,8.00,8.00,7.00,8.00,0.00,12.00,13.00,10.00,10.00,2.00,2.00,8.00,9.00,11.00,9.00,3.00,5.00,4.00,5.00,6.00,5.00,6.00,7.00,8.00,8.00,8.00
"Vietnam","Maschi",38.00,38.00,37.00,34.00,10.00,0.00,31.00,32.00,30.00,28.00,2.00,2.00,19.00,19.00,19.00,14.00,2.00,3.00,5.00,5.00,10.00,9.00,17.00,17.00,16.00,14.00,14.00
"Yemen","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00
"Yemen","Maschi",4.00,4.00,4.00,5.00,2.00,0.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,1.00,1.00
"Zambia","Femmine",1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,3.00,4.00,4.00,4.00
"Zambia","Maschi",1.00,1.00,2.00,2.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,4.00,6.00
"Zimbabwe (Rhodesia)","Femmine",0.00,0.00,0.00,0.00,2.00,0.00,1.00,2.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,3.00
"Zimbabwe (Rhodesia)","Maschi",0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,3.00,5.00,4.00,7.00,6.00
